ID,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31
0,0.0368757780388776,0.1097799651146112,0.0341570466250805,0.0766100992538131,0.0691016405429188,1.298408334326166,0.0230185664898584,0.2305253333624176,0.0936510440076942,0.0611950736273357
1,0.0128449437486622,0.0192389029596762,0.0256015116308508,0.0174293945734835,0.0155381200600685,0.7735704056621104,0.0228948688272391,0.0145767012881305,0.0034959212642404,0.0662192653397725
2,0.0267904040383953,0.1442165380218566,0.1920913304627566,0.9441246995835546,0.01464683949807,0.021449163782461,0.0199543438379643,0.0111502203516619,0.0761981304602357,0.1127050898975213
3,0.0185150421437199,0.0761984632225522,0.0432949150843005,0.1120082377407389,0.0166909047735786,0.212262308062134,0.0148996007851932,0.0169097475308416,0.0034959212642404,0.0334816522443944
4,0.0275968666256019,0.0508269660715924,0.0389834020013613,0.0255482095368652,0.0031169429967082,0.0145761796674266,0.0095090055426957,0.0040937992898005,0.0034959212642404,0.04106428901638
5,0.0498205935853391,0.1723731545451898,0.250963471348553,0.0432546408689095,0.017031141059669,0.0066989665109647,0.008708836206053,0.1436547187630975,0.0232242823647736,0.0978900932203615
6,0.0246313705845593,0.7066178313455536,0.4690331800654922,0.8211625148384347,0.1033672422427881,0.0177212085044518,0.1603752578356768,0.259704018536392,0.5190850117795178,0.50813868676902
7,0.1125328664848282,0.4562078309188309,0.2409448739424652,0.0315439437241739,0.0094880474542142,0.0216967594395898,0.012827372256678,0.0976179168300558,0.0038585782747957,0.1901864779282406
8,0.0094191403639186,0.0745110672302781,0.1111839714856278,0.0160583545645213,0.0262430812909782,0.3540854756109982,0.0699547645904008,0.088082278613835,0.0034959212642404,0.0750164328963948
9,0.004908871794926,0.002588108022544,0.0630508842866793,0.0160583545645213,0.0132922402237526,0.18584060197544,0.0185875424828859,0.0345510376072678,0.0034959212642404,0.0214932078086932
10,0.0627608509892368,0.0956433858605692,0.0424967521673925,0.0921880059091936,0.0194034026004193,0.7166399405404151,0.0233803967987065,0.5713067058103815,0.0110511421515382,0.1130793526570997
11,0.0119465211953709,0.2531646797720386,0.0953963941272041,0.1013508777965772,0.0116925867817122,0.0145761796674266,0.036827109745988,0.1351500502386596,0.0317070093140698,0.2292808028195069
12,0.0232274954085212,0.0927824115380474,0.0306275817263331,0.0160583545645213,0.0136490605332999,0.092147262527658,-0.0164330561210522,0.0222883688701739,0.0034959212642404,0.0404812457489826
13,0.0076570541293974,0.047933531370162,0.0458023924864055,0.0160583545645213,0.0281959939154309,0.1718218125687488,0.03210107638433,0.0107417899861656,0.0034959212642404,0.0379428162922196
14,0.0053530244202036,0.0461839847708403,0.0306275817263331,0.3232292535382303,0.022224106404428,0.029515183233241,0.0053739117064102,0.0120417945299021,0.0212280849762662,0.0271304093038126
15,0.058301629109367,0.1230172312532101,0.3983153541037273,0.0197409339440501,0.0153145900558784,0.3675745578774583,0.0189224921568601,0.0129106245448537,0.0034959212642404,0.2190726280895106
16,0.0078702574990373,0.0733349061034227,0.0388844466640539,0.1187663598563095,0.0345458183008805,0.3649980501112511,0.0785406563613109,0.1467220407984467,0.0101252072925688,0.0424658696646148
17,0.0112791361623592,0.0836567615775533,0.0651198719704216,0.1220841816672337,0.0487210207884748,1.0009158254878343,0.024326353113943,0.2606395031624896,0.0846267028535492,0.0811934908305048
18,0.0261151455540882,0.1535710052488526,0.0964983153960593,0.2680532164328188,0.032664799270786,0.0695678418786772,0.0322700693228218,0.3744494426618229,0.0284961539144403,0.1407586466919966
19,0.0116372610953319,0.2238630617375185,0.5418336516365917,0.2658079558992913,0.1096641202947051,0.326383600066845,0.0218187169359207,0.0210151188374919,0.7218943721744124,0.181818898994483
20,0.0208136080598549,0.2383510275623736,0.2353773854545243,0.1824100266227479,0.0354712533449504,0.0299511068923382,0.0423883366827161,0.0121576961836734,0.0642964441393103,0.2468924350267699
21,0.1345060464964561,0.0953831755132848,0.0552678710798891,0.0227601501234321,0.0059231500881479,0.0145761796674266,0.0089418463119269,0.026270568357101,0.0038585782747957,0.0957313841789656
22,0.0819861227317076,0.0877075124121353,0.0591681500943769,0.0750756790063324,0.0230085066835078,0.0158834957918659,0.0005167189703268915,0.1950867964923571,0.0062510735877565,0.1000288797184695
23,0.0151228833636039,0.1883523281290943,0.2372047603337369,0.0894412951735294,0.021613920423839,1.170297126817684,0.0488507496023634,0.023375131539903,0.0093601796250566,0.1970085669234905
24,0.0036752513433682,0.1416175979911572,0.1659567218855618,0.1388375078373802,0.0273437839238811,0.021529273822023,0.0300762403133936,0.2241890316953839,0.0172511692169989,0.1095893849295536
25,0.0323253881952339,0.4722094620194592,0.6182164599438357,0.3231219730720486,0.0296174719440336,0.023283722571148,0.0272434057321382,0.2626596058843614,0.0360076465538638,0.3780129056047955
