ID,kwh
2024-09-24_consumer_device_12_data_user_1,0.1834861500695078
2024-09-25_consumer_device_12_data_user_1,0.3841797882498904
2024-09-26_consumer_device_12_data_user_1,0.3841797882498904
2024-09-27_consumer_device_12_data_user_1,0.4806245013180851
2024-09-28_consumer_device_12_data_user_1,0.2296670875087111
2024-09-29_consumer_device_12_data_user_1,0.1975317219778626
2024-09-30_consumer_device_12_data_user_1,0.224602543007928
2024-10-01_consumer_device_12_data_user_1,0.0288044074125318
2024-10-02_consumer_device_12_data_user_1,0.129382239612165
2024-10-03_consumer_device_12_data_user_1,0.0785323753528027
2024-10-04_consumer_device_12_data_user_1,0.0288044074125318
2024-10-05_consumer_device_12_data_user_1,0.0293596591375499
2024-10-06_consumer_device_12_data_user_1,0.0496664086397468
2024-10-07_consumer_device_12_data_user_1,0.0159344533033399
2024-10-08_consumer_device_12_data_user_1,0.0409012371249227
2024-10-09_consumer_device_12_data_user_1,0.0414564888499408
2024-10-10_consumer_device_12_data_user_1,0.0850944073911487
2024-10-11_consumer_device_12_data_user_1,0.1308286534197359
2024-10-12_consumer_device_12_data_user_1,0.0779771236277847
2024-10-13_consumer_device_12_data_user_1,0.1409238175995378
2024-10-14_consumer_device_12_data_user_1,0.0280312830157308
2024-10-15_consumer_device_12_data_user_1,0.0280312830157308
2024-10-16_consumer_device_12_data_user_1,0.2547566966543636
2024-10-17_consumer_device_12_data_user_1,0.0505893276579408
2024-10-18_consumer_device_12_data_user_1,0.1280538634903459
2024-10-19_consumer_device_12_data_user_1,0.0280312830157308
2024-10-20_consumer_device_12_data_user_1,0.0159344533033399
2024-10-21_consumer_device_12_data_user_1,0.0409012371249227
2024-10-22_consumer_device_12_data_user_1,0.0280312830157308
2024-10-23_consumer_device_12_data_user_1,0.0280312830157308
2024-10-24_consumer_device_12_data_user_1,0.0688047715969114
2024-09-24_consumer_device_12_data_user_10,0.0635698600247233
2024-09-25_consumer_device_12_data_user_10,0.1680803545325725
2024-09-26_consumer_device_12_data_user_10,0.1713680768891899
2024-09-27_consumer_device_12_data_user_10,0.1842109094880252
2024-09-28_consumer_device_12_data_user_10,0.1747468118130891
2024-09-29_consumer_device_12_data_user_10,0.1302008940413325
2024-09-30_consumer_device_12_data_user_10,0.142248452365744
2024-10-01_consumer_device_12_data_user_10,0.0159344533033399
2024-10-02_consumer_device_12_data_user_10,0.0159344533033399
2024-10-03_consumer_device_12_data_user_10,0.0159344533033399
2024-10-04_consumer_device_12_data_user_10,0.0159344533033399
2024-10-05_consumer_device_12_data_user_10,0.0159344533033399
2024-10-06_consumer_device_12_data_user_10,0.0159344533033399
2024-10-07_consumer_device_12_data_user_10,0.0159344533033399
2024-10-08_consumer_device_12_data_user_10,0.0159344533033399
2024-10-09_consumer_device_12_data_user_10,0.0159344533033399
2024-10-10_consumer_device_12_data_user_10,0.0651071695185928
2024-10-11_consumer_device_12_data_user_10,0.0567079418845205
2024-10-12_consumer_device_12_data_user_10,0.0438379877753286
2024-10-13_consumer_device_12_data_user_10,0.0159344533033399
2024-10-14_consumer_device_12_data_user_10,0.0159344533033399
2024-10-15_consumer_device_12_data_user_10,0.0924077713437109
2024-10-16_consumer_device_12_data_user_10,0.0505893276579408
2024-10-17_consumer_device_12_data_user_10,0.0159344533033399
2024-10-18_consumer_device_12_data_user_10,0.0159344533033399
2024-10-19_consumer_device_12_data_user_10,0.0159344533033399
2024-10-20_consumer_device_12_data_user_10,0.0609152325935392
2024-10-21_consumer_device_12_data_user_10,0.0159344533033399
2024-10-22_consumer_device_12_data_user_10,0.0159344533033399
2024-10-23_consumer_device_12_data_user_10,0.0159344533033399
2024-10-24_consumer_device_12_data_user_10,0.0159344533033399
2024-09-24_consumer_device_12_data_user_11,0.0159344533033399
2024-09-25_consumer_device_12_data_user_11,0.1147029104916109
2024-09-26_consumer_device_12_data_user_11,0.1382852516410603
2024-09-27_consumer_device_12_data_user_11,0.0225141830317406
2024-09-28_consumer_device_12_data_user_11,0.0438379877753286
2024-09-29_consumer_device_12_data_user_11,0.0225141830317406
2024-09-30_consumer_device_12_data_user_11,0.1097434184787525
2024-10-01_consumer_device_12_data_user_11,0.0159344533033399
2024-10-02_consumer_device_12_data_user_11,0.0159344533033399
2024-10-03_consumer_device_12_data_user_11,0.0159344533033399
2024-10-04_consumer_device_12_data_user_11,0.0159344533033399
2024-10-05_consumer_device_12_data_user_11,0.0159344533033399
2024-10-06_consumer_device_12_data_user_11,0.0159344533033399
2024-10-07_consumer_device_12_data_user_11,0.0159344533033399
2024-10-08_consumer_device_12_data_user_11,0.0159344533033399
2024-10-09_consumer_device_12_data_user_11,0.0159344533033399
2024-10-10_consumer_device_12_data_user_11,0.0513624520547418
2024-10-11_consumer_device_12_data_user_11,0.0159344533033399
2024-10-12_consumer_device_12_data_user_11,0.0159344533033399
2024-10-13_consumer_device_12_data_user_11,0.0159344533033399
2024-10-14_consumer_device_12_data_user_11,0.0159344533033399
2024-10-15_consumer_device_12_data_user_11,0.0159344533033399
2024-10-16_consumer_device_12_data_user_11,0.1368629708461194
2024-10-17_consumer_device_12_data_user_11,0.0159344533033399
2024-10-18_consumer_device_12_data_user_11,0.0159344533033399
2024-10-19_consumer_device_12_data_user_11,0.0159344533033399
2024-10-20_consumer_device_12_data_user_11,0.117958699310544
2024-10-21_consumer_device_12_data_user_11,0.0159344533033399
2024-10-22_consumer_device_12_data_user_11,0.0159344533033399
2024-10-23_consumer_device_12_data_user_11,0.0159344533033399
2024-10-24_consumer_device_12_data_user_11,0.0159344533033399
2024-09-24_consumer_device_12_data_user_12,0.117958699310544
2024-09-25_consumer_device_12_data_user_12,0.1474224910646407
2024-09-26_consumer_device_12_data_user_12,0.1801771842449634
2024-09-27_consumer_device_12_data_user_12,0.117958699310544
2024-09-28_consumer_device_12_data_user_12,0.1297365380026131
2024-09-29_consumer_device_12_data_user_12,0.117958699310544
2024-09-30_consumer_device_12_data_user_12,0.171767300301577
2024-10-01_consumer_device_12_data_user_12,0.0159344533033399
2024-10-02_consumer_device_12_data_user_12,0.0159344533033399
2024-10-03_consumer_device_12_data_user_12,0.0159344533033399
2024-10-04_consumer_device_12_data_user_12,0.0159344533033399
2024-10-05_consumer_device_12_data_user_12,0.0159344533033399
2024-10-06_consumer_device_12_data_user_12,0.0159344533033399
2024-10-07_consumer_device_12_data_user_12,0.0159344533033399
2024-10-08_consumer_device_12_data_user_12,0.0159344533033399
2024-10-09_consumer_device_12_data_user_12,0.0159344533033399
2024-10-10_consumer_device_12_data_user_12,0.0159344533033399
2024-10-11_consumer_device_12_data_user_12,0.0159344533033399
2024-10-12_consumer_device_12_data_user_12,0.0159344533033399
2024-10-13_consumer_device_12_data_user_12,0.0159344533033399
2024-10-14_consumer_device_12_data_user_12,0.0159344533033399
2024-10-15_consumer_device_12_data_user_12,0.0159344533033399
2024-10-16_consumer_device_12_data_user_12,0.0159344533033399
2024-10-17_consumer_device_12_data_user_12,0.0159344533033399
2024-10-18_consumer_device_12_data_user_12,0.0159344533033399
2024-10-19_consumer_device_12_data_user_12,0.0384924979455499
2024-10-20_consumer_device_12_data_user_12,0.1490900272777034
2024-10-21_consumer_device_12_data_user_12,0.0159344533033399
2024-10-22_consumer_device_12_data_user_12,0.0159344533033399
2024-10-23_consumer_device_12_data_user_12,0.0159344533033399
2024-10-24_consumer_device_12_data_user_12,0.1247661411337285
2024-09-24_consumer_device_12_data_user_13,0.115957033777955
2024-09-25_consumer_device_12_data_user_13,0.1481956154614417
2024-09-26_consumer_device_12_data_user_13,0.1950461986282571
2024-09-27_consumer_device_12_data_user_13,0.1058618695981531
2024-09-28_consumer_device_12_data_user_13,0.1058618695981531
2024-09-29_consumer_device_12_data_user_13,0.118731823707345
2024-09-30_consumer_device_12_data_user_13,0.1058618695981531
2024-10-01_consumer_device_12_data_user_13,0.0159344533033399
2024-10-02_consumer_device_12_data_user_13,0.0159344533033399
2024-10-03_consumer_device_12_data_user_13,0.0159344533033399
2024-10-04_consumer_device_12_data_user_13,0.0159344533033399
2024-10-05_consumer_device_12_data_user_13,0.0159344533033399
2024-10-06_consumer_device_12_data_user_13,0.0159344533033399
2024-10-07_consumer_device_12_data_user_13,0.0159344533033399
2024-10-08_consumer_device_12_data_user_13,0.0159344533033399
2024-10-09_consumer_device_12_data_user_13,0.0159344533033399
2024-10-10_consumer_device_12_data_user_13,0.0159344533033399
2024-10-11_consumer_device_12_data_user_13,0.0159344533033399
2024-10-12_consumer_device_12_data_user_13,0.0159344533033399
2024-10-13_consumer_device_12_data_user_13,0.0159344533033399
2024-10-14_consumer_device_12_data_user_13,0.0159344533033399
2024-10-15_consumer_device_12_data_user_13,0.0601768949575453
2024-10-16_consumer_device_12_data_user_13,0.1679942988132788
2024-10-17_consumer_device_12_data_user_13,0.0159344533033399
2024-10-18_consumer_device_12_data_user_13,0.0159344533033399
2024-10-19_consumer_device_12_data_user_13,0.0159344533033399
2024-10-20_consumer_device_12_data_user_13,0.0280312830157308
2024-10-21_consumer_device_12_data_user_13,0.0159344533033399
2024-10-22_consumer_device_12_data_user_13,0.0159344533033399
2024-10-23_consumer_device_12_data_user_13,0.0159344533033399
2024-10-24_consumer_device_12_data_user_13,0.0438379877753286
2024-09-24_consumer_device_12_data_user_2,0.6929216442088327
2024-09-25_consumer_device_12_data_user_2,0.5895051902782834
2024-09-26_consumer_device_12_data_user_2,0.4256872439448452
2024-09-27_consumer_device_12_data_user_2,0.1385456453583865
2024-09-28_consumer_device_12_data_user_2,0.1739736874162881
2024-09-29_consumer_device_12_data_user_2,0.1611527239013194
2024-09-30_consumer_device_12_data_user_2,0.1368629708461194
2024-10-01_consumer_device_12_data_user_2,0.0640145334921508
2024-10-02_consumer_device_12_data_user_2,0.3135600194375693
2024-10-03_consumer_device_12_data_user_2,0.5573677594232104
2024-10-04_consumer_device_12_data_user_2,0.2569996374234288
2024-10-05_consumer_device_12_data_user_2,0.1663137808948486
2024-10-06_consumer_device_12_data_user_2,0.0409012371249227
2024-10-07_consumer_device_12_data_user_2,0.0409012371249227
2024-10-08_consumer_device_12_data_user_2,0.0409012371249227
2024-10-09_consumer_device_12_data_user_2,0.1663137808948486
2024-10-10_consumer_device_12_data_user_2,0.0414564888499408
2024-10-11_consumer_device_12_data_user_2,0.0897585395298629
2024-10-12_consumer_device_12_data_user_2,0.1831979169085352
2024-10-13_consumer_device_12_data_user_2,0.1730591831303863
2024-10-14_consumer_device_12_data_user_2,0.0288044074125318
2024-10-15_consumer_device_12_data_user_2,0.0159344533033399
2024-10-16_consumer_device_12_data_user_2,0.5123812755494109
2024-10-17_consumer_device_12_data_user_2,0.1393988122738628
2024-10-18_consumer_device_12_data_user_2,0.0280312830157308
2024-10-19_consumer_device_12_data_user_2,0.0474809668533234
2024-10-20_consumer_device_12_data_user_2,0.0409012371249227
2024-10-21_consumer_device_12_data_user_2,0.0288044074125318
2024-10-22_consumer_device_12_data_user_2,0.0288044074125318
2024-10-23_consumer_device_12_data_user_2,0.1308286534197359
2024-10-24_consumer_device_12_data_user_2,0.2547566966543636
2024-09-24_consumer_device_12_data_user_3,0.5399362314649588
2024-09-25_consumer_device_12_data_user_3,0.6673147849080815
2024-09-26_consumer_device_12_data_user_3,0.6265607330290331
2024-09-27_consumer_device_12_data_user_3,0.3789721771766162
2024-09-28_consumer_device_12_data_user_3,0.5920315298874593
2024-09-29_consumer_device_12_data_user_3,0.5112453063641406
2024-09-30_consumer_device_12_data_user_3,0.5764859056955866
2024-10-01_consumer_device_12_data_user_3,0.0567079418845205
2024-10-02_consumer_device_12_data_user_3,0.1308286534197359
2024-10-03_consumer_device_12_data_user_3,0.0159344533033399
2024-10-04_consumer_device_12_data_user_3,0.1308286534197359
2024-10-05_consumer_device_12_data_user_3,0.0159344533033399
2024-10-06_consumer_device_12_data_user_3,0.0159344533033399
2024-10-07_consumer_device_12_data_user_3,0.0159344533033399
2024-10-08_consumer_device_12_data_user_3,0.0159344533033399
2024-10-09_consumer_device_12_data_user_3,0.0159344533033399
2024-10-10_consumer_device_12_data_user_3,0.0159344533033399
2024-10-11_consumer_device_12_data_user_3,0.0438379877753286
2024-10-12_consumer_device_12_data_user_3,0.1308286534197359
2024-10-13_consumer_device_12_data_user_3,0.2348111792973904
2024-10-14_consumer_device_12_data_user_3,0.0159344533033399
2024-10-15_consumer_device_12_data_user_3,0.0159344533033399
2024-10-16_consumer_device_12_data_user_3,0.808856552075009
2024-10-17_consumer_device_12_data_user_3,0.1842109094880252
2024-10-18_consumer_device_12_data_user_3,0.0730120623059301
2024-10-19_consumer_device_12_data_user_3,0.0225141830317406
2024-10-20_consumer_device_12_data_user_3,0.0384924979455499
2024-10-21_consumer_device_12_data_user_3,0.0288044074125318
2024-10-22_consumer_device_12_data_user_3,0.0159344533033399
2024-10-23_consumer_device_12_data_user_3,0.0280312830157308
2024-10-24_consumer_device_12_data_user_3,0.1410814867861299
2024-09-24_consumer_device_12_data_user_4,12.19871625783096
2024-09-25_consumer_device_12_data_user_4,13.309511757820724
2024-09-26_consumer_device_12_data_user_4,13.538910805612682
2024-09-27_consumer_device_12_data_user_4,10.341221653464595
2024-09-28_consumer_device_12_data_user_4,13.19628464478708
2024-09-29_consumer_device_12_data_user_4,14.050007244122094
2024-09-30_consumer_device_12_data_user_4,15.478826525986074
2024-10-01_consumer_device_12_data_user_4,0.1741428668185799
2024-10-02_consumer_device_12_data_user_4,0.8293127474182947
2024-10-03_consumer_device_12_data_user_4,0.0792536022647946
2024-10-04_consumer_device_12_data_user_4,0.5629679303540579
2024-10-05_consumer_device_12_data_user_4,0.0574386738747089
2024-10-06_consumer_device_12_data_user_4,0.0264939735218613
2024-10-07_consumer_device_12_data_user_4,0.0779771236277847
2024-10-08_consumer_device_12_data_user_4,0.0409012371249227
2024-10-09_consumer_device_12_data_user_4,0.2964315856964058
2024-10-10_consumer_device_12_data_user_4,0.8402064890408619
2024-10-11_consumer_device_12_data_user_4,0.8705922360107033
2024-10-12_consumer_device_12_data_user_4,1.5225143294822154
2024-10-13_consumer_device_12_data_user_4,1.8339592120185224
2024-10-14_consumer_device_12_data_user_4,1.1479241933714328
2024-10-15_consumer_device_12_data_user_4,2.121282795634466
