Timestamp,Water_Consumption
01/01/2015 00,220.28822520234
01/01/2015 08,148.0570561587655
01/01/2015 16,278.0821600998596
01/01/2016 00,85.00560469318489
01/01/2016 08,102.14828855961868
01/01/2016 16,196.6285926443369
01/01/2017 00,181.5151286097088
01/01/2017 08,131.71687855802784
01/01/2017 16,72.38599130649428
01/01/2018 00,142.44062336718972
01/01/2018 08,146.73908032894442
01/01/2018 16,142.0067160273747
01/01/2019 00,146.52446339696954
01/01/2019 08,249.211800066273
01/01/2019 16,166.0295005126235
01/01/2020 00,284.6621768898175
01/01/2020 08,201.095568183794
01/01/2020 16,100.26758012313704
01/02/2015 00,165.76516369612264
01/02/2015 08,102.32311297253082
01/02/2015 16,170.92457661077688
01/02/2016 00,74.19444725055556
01/02/2016 08,204.79864842396535
01/02/2016 16,77.9558213515983
01/02/2017 00,226.40500154298107
01/02/2017 08,105.30281481657484
01/02/2017 16,65.08677124370197
01/02/2018 00,151.7818552544185
01/02/2018 08,102.26510550592404
01/02/2018 16,87.37928801913122
01/02/2019 00,113.76786598049412
01/02/2019 08,122.45198495172272
01/02/2019 16,99.28022964436867
01/02/2020 00,111.19266189027886
01/02/2020 08,144.7375921849006
01/02/2020 16,121.92968908742378
01/03/2015 00,142.41773014141555
01/03/2015 08,280.64568777147986
01/03/2015 16,218.1198979304017
01/03/2016 00,157.7550412737609
01/03/2016 08,92.9125554277406
01/03/2016 16,190.46408604875515
01/03/2017 00,139.38074303603108
01/03/2017 08,45.49525936086039
01/03/2017 16,78.3383127613769
01/03/2018 00,87.27133529771427
01/03/2018 08,177.2756745149226
01/03/2018 16,214.36687708597935
01/03/2019 00,114.74480315901648
01/03/2019 08,156.60111236058484
01/03/2019 16,91.5040646209226
01/03/2020 00,125.61865525923976
01/03/2020 08,223.7836782256917
01/03/2020 16,339.3262807796553
01/04/2015 00,126.8396438886256
01/04/2015 08,202.5783484531411
01/04/2015 16,225.8680444802002
01/04/2016 00,133.0761137255312
01/04/2016 08,47.03215916592936
01/04/2016 16,185.15992410525988
01/04/2017 00,101.65205732126095
01/04/2017 08,209.1597258504325
01/04/2017 16,135.26972490035303
01/04/2018 00,310.7574938903407
01/04/2018 08,112.46067303557255
01/04/2018 16,141.79971134987036
01/04/2019 00,230.23622911375324
01/04/2019 08,191.5932761044086
01/04/2019 16,95.02742778182338
01/04/2020 00,238.3189761782841
01/04/2020 08,81.57232507456402
01/04/2020 16,271.08018359307505
01/05/2015 00,81.2471851422296
01/05/2015 08,214.94025412060628
01/05/2015 16,109.60501805831056
01/05/2016 00,104.89363644037704
01/05/2016 08,373.8070947653458
01/05/2016 16,327.72091904979504
01/05/2017 00,166.1181425216918
01/05/2017 08,119.57769253149937
01/05/2017 16,81.4463433339105
01/05/2018 00,123.98257960703532
01/05/2018 08,305.6240826076672
01/05/2018 16,187.56175584391067
01/05/2019 00,90.54048952598431
01/05/2019 08,67.67291467774967
01/05/2019 16,98.13655965820264
01/06/2015 00,117.27592768565128
01/06/2015 08,113.60496463671636
01/06/2015 16,194.48901168395145
01/06/2016 00,157.55207311593304
01/06/2016 08,89.69003006954054
01/06/2016 16,62.04984917629818
01/06/2017 00,114.31294675961443
01/06/2017 08,154.95046965264092
01/06/2017 16,320.07431898776747
01/06/2018 00,212.6701031005786
01/06/2018 08,146.22001640497083
01/06/2018 16,128.36751868807087
01/06/2019 00,98.1633559777246
01/06/2019 08,138.5786410271966
01/06/2019 16,331.7528264890269
01/07/2015 00,157.70271278776536
01/07/2015 08,121.04907956205616
01/07/2015 16,90.67981128532747
01/07/2016 00,64.79600297797779
01/07/2016 08,125.26061061814735
01/07/2016 16,104.65623609394144
01/07/2017 00,98.008116410564
01/07/2017 08,285.04574212383784
01/07/2017 16,62.88847790796618
01/07/2018 00,417.45159797136046
01/07/2018 08,174.1364997878981
01/07/2018 16,386.5575060262189
01/07/2019 00,251.91053465519408
01/07/2019 08,277.65352564815737
01/07/2019 16,213.19381180264364
01/08/2015 00,105.53104857120972
01/08/2015 08,113.63031352356384
01/08/2015 16,173.41714305498945
01/08/2016 00,232.148526213582
01/08/2016 08,122.1569764562727
01/08/2016 16,231.77369533431093
01/08/2017 00,89.25567881901125
01/08/2017 08,190.6325401388885
01/08/2017 16,132.16590340759913
01/08/2018 00,97.9445142797039
01/08/2018 08,70.20101805914501
01/08/2018 16,100.96619461614948
01/08/2019 00,72.3656300171123
01/08/2019 08,153.38604885384748
01/08/2019 16,75.71890663493733
01/09/2015 00,201.22813890453736
01/09/2015 08,141.73019662684138
