ID,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
0,0.0093096119261876,0.0844538711752802,0.0392558511150888,0.4453206587502072,0.2534673944273703,0.041901718873374,0.1305228623793114,0.0162553632635352,0.0270944873459271,0.0562568849313519,0.1063514858085198,0.026504151079519,0.0521036813094188
1,0.0030320891527712,0.0167973966235122,0.0285879714276995,0.2604587223765711,0.026546106640107,0.0168296647030509,0.0212067687301983,0.016514441142808,0.0137399567370053,0.0129487245924394,0.0341909182713805,0.0204094248113169,0.015916595491618
2,0.0253141158697648,0.1011847880071555,0.0217109463331177,0.1544505342760394,0.2303260356738786,0.0884939433986581,0.0619830465097125,0.0482987174164268,0.0657170628360077,0.0842626515237422,0.1320689039991719,0.2153070916831557,0.7389898951747829
3,0.0062131734838889,0.0261974699750835,0.0264852276225462,0.2330722346821139,0.0417861637788331,0.0639718091907305,0.0340702203378982,0.0584632738313034,0.0275666329375567,0.0247965732142973,0.0486335430866545,0.0798627820261236,0.0519815503736399
4,0.0062960264730695,0.0145831933695417,0.030456173633214,0.2194844059565375,0.0681116607401957,0.0237513583857215,0.0280219104546718,0.0691250842791815,0.0304658708823595,0.0265851925781033,0.0618899424405042,0.0272481593931507,0.0193092956557311
5,0.0185587293373605,0.0218448940794742,0.0439836153448447,0.3292579924606988,0.1664054964376003,0.0527863857228801,0.0631076931516959,0.0504920887896967,0.1193470208795375,0.0271114455157039,0.1739996189832907,0.3193903469730349,0.0446469185059332
6,0.0589347770152703,0.326581302338961,0.0481030476433113,0.2887727179483781,3.024937986483546,0.0865643843286086,0.1405050607449171,0.0841559985454784,0.052365702440035,0.0411924134114409,0.6341753057474505,0.3093527355597535,0.7293368558108715
7,0.006514244774667,0.0314988066892665,0.0628128884630165,0.2367261772894571,0.1072439830413526,0.0771452598429057,0.1051282141910719,0.119235738864563,0.0554290035351883,0.0842260594003404,0.1668455080050278,0.2154713200582255,0.0336079152999819
8,0.0163747250516512,0.0482335229825521,0.787055825166393,7.861674960368619,0.0247034690937465,0.0317045380166526,0.0186930026742716,0.0251198872974341,0.0126396437239932,0.0081124744187446,0.0750266165093506,0.0500708609545318,0.015916595491618
9,0.0036043878352988,0.0158841305600772,0.3944244712395481,4.600390721942604,0.0383586469933828,0.016104178387264,0.015039930620705,0.001582944539167,0.0090190811147081,-0.0010732385283593,0.0279349702866254,0.0273036533256008,0.015916595491618
10,0.0145015631996334,0.0549707022363845,0.3132877995297201,2.0815009576187737,0.4752969563951222,0.0254935164999331,0.1113794832712388,0.053050054563641,0.0367219546583115,0.0510997707007748,0.0981634606129971,0.0500146777124091,0.0446701534907706
11,0.0081511970276328,0.021260049201298,0.0476044463496543,0.3398075642914782,0.2077010586753925,0.0203643514201538,0.2563839560884021,0.1745779579573145,0.2374970845447492,0.0293758619760537,0.2234912060054937,0.0413029237099754,0.0583194141160138
12,0.0054400746402511,0.0166584451871285,0.0834886048608347,0.7981425539044003,0.0382611682534655,0.0294682139452341,0.0450598120609443,0.0822563190969646,0.0371898186872172,0.0223456418887628,0.0681869396191557,0.0354372573422215,0.015916595491618
13,0.0055982447301407,0.0098995520601575,0.048364568901237,0.4230772630696455,0.0340193943947991,0.0810101671950868,0.0374201773287582,0.020796688564693,0.0095793537816248,0.0072911901214365,0.0684449882935239,0.0325932957569084,0.015916595491618
14,0.0086607088450595,0.0267353908783816,0.0643025720994807,0.356448684717835,0.0340193943947991,0.0181318168766445,0.0269448810562694,0.014138475998917,0.0090190811147081,-0.0005729135087016897,0.0445217159683323,0.0219247064599249,0.4406459964462929
15,0.0040605059765998,0.0155024635095442,0.0466643029278963,0.3150758132257769,0.0659388041994855,0.372113934049208,0.0509224658329999,0.0516876761953713,0.0286529501986265,0.0482857204652628,0.1324058621664533,0.47593989966141,0.0188517656876147
16,0.0044745599806678,0.0421895155813372,0.082104614724161,0.8517934909475307,0.0745398348908377,0.0238771519021391,0.0326220727314735,0.0331251719152789,0.0409869698355365,0.0066273537892415,0.0521174282291411,0.0448753555176727,0.0596706204757002
17,0.0054809026259367,0.0992278478442285,0.4652305113479849,3.418926813072831,0.5437626839557009,0.0376323910141543,0.0648717868993203,0.0530244426611433,0.0496972441119183,0.0125376940384165,0.1057631667779076,0.0558886241999635,0.1142087652348355
18,0.0061996793109987,0.0498637999188913,0.040117316289328,0.5000044974883358,1.388661224555089,0.0378960489588969,0.0877983972590387,0.0329949124567443,0.073190045176922,0.0257031131045851,0.1001040085936636,0.1094204627663776,0.2009019113844634
